Time,NodeName,Port,QueueIndex,RxBytes
+0ns,host26,2,0,0
+0ns,host26,3,0,0
+0ns,host27,0,0,0
+0ns,host27,1,0,0
+0ns,host27,2,0,0
+0ns,host27,3,0,0
+0ns,host28,0,0,0
+0ns,host28,1,0,0
+0ns,host28,2,0,0
+0ns,host28,3,0,0
+0ns,host29,0,0,0
+0ns,host29,1,0,0
+0ns,host29,2,0,0
+0ns,host29,3,0,0
+1e+06ns,host0,0,0,15000
+1e+06ns,host0,1,0,0
+1e+06ns,host0,2,0,69000
+1e+06ns,host0,3,0,0
+1e+06ns,host1,0,0,15000
+1e+06ns,host1,1,0,0
+1e+06ns,host1,2,0,51000
+1e+06ns,host1,3,0,3000
+1e+06ns,host2,0,0,15000
+1e+06ns,host2,1,0,0
+1e+06ns,host2,2,0,33000
+1e+06ns,host2,3,0,3000
+1e+06ns,host3,0,0,27000
+1e+06ns,host3,1,0,0
+1e+06ns,host3,2,0,3000
+1e+06ns,host3,3,0,3000
+1e+06ns,host4,0,0,0
+1e+06ns,host4,1,0,0
+1e+06ns,host4,2,0,0
+1e+06ns,host4,3,0,0
+1e+06ns,host5,0,0,12000
+1e+06ns,host5,1,0,0
+1e+06ns,host5,2,0,0
+1e+06ns,host5,3,0,0
+1e+06ns,host6,0,0,12000
+1e+06ns,host6,1,0,0
+1e+06ns,host6,2,0,0
+1e+06ns,host6,3,0,0
+1e+06ns,host7,0,0,12000
+1e+06ns,host7,1,0,0
+1e+06ns,host7,2,0,0
+1e+06ns,host7,3,0,0
+1e+06ns,host8,0,0,21000
+1e+06ns,host8,1,0,3000
+1e+06ns,host8,2,0,3000
+1e+06ns,host8,3,0,0
+1e+06ns,host9,0,0,0
+1e+06ns,host9,1,0,0
+1e+06ns,host9,2,0,0
+1e+06ns,host9,3,0,0
+1e+06ns,host10,0,0,9000
+1e+06ns,host10,1,0,0
+1e+06ns,host10,2,0,0
+1e+06ns,host10,3,0,0
+1e+06ns,host11,0,0,9000
+1e+06ns,host11,1,0,0
+1e+06ns,host11,2,0,0
+1e+06ns,host11,3,0,0
+1e+06ns,host12,0,0,9000
+1e+06ns,host12,1,0,0
+1e+06ns,host12,2,0,0
+1e+06ns,host12,3,0,0
+1e+06ns,host13,0,0,15000
+1e+06ns,host13,1,0,3000
+1e+06ns,host13,2,0,3000
+1e+06ns,host13,3,0,0
+1e+06ns,host14,0,0,0
+1e+06ns,host14,1,0,0
+1e+06ns,host14,2,0,0
+1e+06ns,host14,3,0,0
+1e+06ns,host15,0,0,6000
+1e+06ns,host15,1,0,0
+1e+06ns,host15,2,0,0
+1e+06ns,host15,3,0,0
+1e+06ns,host16,0,0,6000
+1e+06ns,host16,1,0,0
+1e+06ns,host16,2,0,0
+1e+06ns,host16,3,0,0
+1e+06ns,host17,0,0,6000
+1e+06ns,host17,1,0,0
+1e+06ns,host17,2,0,0
+1e+06ns,host17,3,0,0
+1e+06ns,host18,0,0,9000
+1e+06ns,host18,1,0,3000
+1e+06ns,host18,2,0,3000
+1e+06ns,host18,3,0,0
+1e+06ns,host19,0,0,0
+1e+06ns,host19,1,0,0
+1e+06ns,host19,2,0,0
+1e+06ns,host19,3,0,0
+1e+06ns,host20,0,0,3000
+1e+06ns,host20,1,0,0
+1e+06ns,host20,2,0,0
+1e+06ns,host20,3,0,0
+1e+06ns,host21,0,0,3000
+1e+06ns,host21,1,0,0
+1e+06ns,host21,2,0,0
+1e+06ns,host21,3,0,0
+1e+06ns,host22,0,0,3000
+1e+06ns,host22,1,0,0
+1e+06ns,host22,2,0,0
+1e+06ns,host22,3,0,0
+1e+06ns,host23,0,0,3000
+1e+06ns,host23,1,0,0
+1e+06ns,host23,2,0,3000
+1e+06ns,host23,3,0,0
+1e+06ns,host24,0,0,0
+1e+06ns,host24,1,0,0
+1e+06ns,host24,2,0,0
+1e+06ns,host24,3,0,0
+1e+06ns,host25,0,0,0
+1e+06ns,host25,1,0,0
+1e+06ns,host25,2,0,0
+1e+06ns,host25,3,0,0
+1e+06ns,host26,0,0,0
+1e+06ns,host26,1,0,0
+1e+06ns,host26,2,0,0
+1e+06ns,host26,3,0,0
+1e+06ns,host27,0,0,0
+1e+06ns,host27,1,0,0
+1e+06ns,host27,2,0,0
+1e+06ns,host27,3,0,0
+1e+06ns,host28,0,0,0
+1e+06ns,host28,1,0,0
+1e+06ns,host28,2,0,0
+1e+06ns,host28,3,0,0
+1e+06ns,host29,0,0,0
+1e+06ns,host29,1,0,0
+1e+06ns,host29,2,0,0
+1e+06ns,host29,3,0,0
+2e+06ns,host0,0,0,15000
+2e+06ns,host0,1,0,0
+2e+06ns,host0,2,0,69000
+2e+06ns,host0,3,0,0
+2e+06ns,host1,0,0,15000
+2e+06ns,host1,1,0,0
+2e+06ns,host1,2,0,51000
+2e+06ns,host1,3,0,3000
+2e+06ns,host2,0,0,15000
+2e+06ns,host2,1,0,0
+2e+06ns,host2,2,0,33000
+2e+06ns,host2,3,0,3000
+2e+06ns,host3,0,0,27000
+2e+06ns,host3,1,0,0
+2e+06ns,host3,2,0,3000
+2e+06ns,host3,3,0,3000
+2e+06ns,host4,0,0,0
+2e+06ns,host4,1,0,0
+2e+06ns,host4,2,0,0
+2e+06ns,host4,3,0,0
+2e+06ns,host5,0,0,12000
+2e+06ns,host5,1,0,0
+2e+06ns,host5,2,0,0
+2e+06ns,host5,3,0,0
+2e+06ns,host6,0,0,12000
+2e+06ns,host6,1,0,0
+2e+06ns,host6,2,0,0
+2e+06ns,host6,3,0,0
+2e+06ns,host7,0,0,12000
+2e+06ns,host7,1,0,0
+2e+06ns,host7,2,0,0
+2e+06ns,host7,3,0,0
+2e+06ns,host8,0,0,21000
+2e+06ns,host8,1,0,3000
+2e+06ns,host8,2,0,3000
+2e+06ns,host8,3,0,0
+2e+06ns,host9,0,0,0
+2e+06ns,host9,1,0,0
+2e+06ns,host9,2,0,0
+2e+06ns,host9,3,0,0
+2e+06ns,host10,0,0,9000
+2e+06ns,host10,1,0,0
+2e+06ns,host10,2,0,0
+2e+06ns,host10,3,0,0
+2e+06ns,host11,0,0,9000
+2e+06ns,host11,1,0,0
+2e+06ns,host11,2,0,0
+2e+06ns,host11,3,0,0
+2e+06ns,host12,0,0,9000
+2e+06ns,host12,1,0,0
+2e+06ns,host12,2,0,0
+2e+06ns,host12,3,0,0
+2e+06ns,host13,0,0,15000
+2e+06ns,host13,1,0,3000
+2e+06ns,host13,2,0,3000
+2e+06ns,host13,3,0,0
+2e+06ns,host14,0,0,0
+2e+06ns,host14,1,0,0
+2e+06ns,host14,2,0,0
+2e+06ns,host14,3,0,0
+2e+06ns,host15,0,0,6000
+2e+06ns,host15,1,0,0
+2e+06ns,host15,2,0,0
+2e+06ns,host15,3,0,0
+2e+06ns,host16,0,0,6000
+2e+06ns,host16,1,0,0
+2e+06ns,host16,2,0,0
+2e+06ns,host16,3,0,0
+2e+06ns,host17,0,0,6000
+2e+06ns,host17,1,0,0
+2e+06ns,host17,2,0,0
+2e+06ns,host17,3,0,0
+2e+06ns,host18,0,0,9000
+2e+06ns,host18,1,0,3000
+2e+06ns,host18,2,0,3000
+2e+06ns,host18,3,0,0
+2e+06ns,host19,0,0,0
+2e+06ns,host19,1,0,0
+2e+06ns,host19,2,0,0
+2e+06ns,host19,3,0,0
+2e+06ns,host20,0,0,3000
+2e+06ns,host20,1,0,0
+2e+06ns,host20,2,0,0
+2e+06ns,host20,3,0,0
+2e+06ns,host21,0,0,3000
+2e+06ns,host21,1,0,0
+2e+06ns,host21,2,0,0
+2e+06ns,host21,3,0,0
+2e+06ns,host22,0,0,3000
+2e+06ns,host22,1,0,0
+2e+06ns,host22,2,0,0
+2e+06ns,host22,3,0,0
+2e+06ns,host23,0,0,3000
+2e+06ns,host23,1,0,0
+2e+06ns,host23,2,0,3000
+2e+06ns,host23,3,0,0
+2e+06ns,host24,0,0,0
+2e+06ns,host24,1,0,0
+2e+06ns,host24,2,0,0
+2e+06ns,host24,3,0,0
+2e+06ns,host25,0,0,0
+2e+06ns,host25,1,0,0
+2e+06ns,host25,2,0,0
+2e+06ns,host25,3,0,0
+2e+06ns,host26,0,0,0
+2e+06ns,host26,1,0,0
+2e+06ns,host26,2,0,0
+2e+06ns,host26,3,0,0
+2e+06ns,host27,0,0,0
+2e+06ns,host27,1,0,0
+2e+06ns,host27,2,0,0
+2e+06ns,host27,3,0,0
+2e+06ns,host28,0,0,0
+2e+06ns,host28,1,0,0
+2e+06ns,host28,2,0,0
+2e+06ns,host28,3,0,0
+2e+06ns,host29,0,0,0
+2e+06ns,host29,1,0,0
+2e+06ns,host29,2,0,0
+2e+06ns,host29,3,0,0
+3e+06ns,host0,0,0,15000
+3e+06ns,host0,1,0,0
+3e+06ns,host0,2,0,69000
+3e+06ns,host0,3,0,0
+3e+06ns,host1,0,0,15000
+3e+06ns,host1,1,0,0
+3e+06ns,host1,2,0,51000
+3e+06ns,host1,3,0,3000
+3e+06ns,host2,0,0,15000
+3e+06ns,host2,1,0,0
+3e+06ns,host2,2,0,33000
+3e+06ns,host2,3,0,3000
+3e+06ns,host3,0,0,27000
+3e+06ns,host3,1,0,0
+3e+06ns,host3,2,0,3000
+3e+06ns,host3,3,0,3000
+3e+06ns,host4,0,0,0
+3e+06ns,host4,1,0,0
+3e+06ns,host4,2,0,0
+3e+06ns,host4,3,0,0
+3e+06ns,host5,0,0,12000
+3e+06ns,host5,1,0,0
+3e+06ns,host5,2,0,0
+3e+06ns,host5,3,0,0
+3e+06ns,host6,0,0,12000
+3e+06ns,host6,1,0,0
+3e+06ns,host6,2,0,0
+3e+06ns,host6,3,0,0
+3e+06ns,host7,0,0,12000
+3e+06ns,host7,1,0,0
+3e+06ns,host7,2,0,0
+3e+06ns,host7,3,0,0
+3e+06ns,host8,0,0,21000
+3e+06ns,host8,1,0,3000
+3e+06ns,host8,2,0,3000
+3e+06ns,host8,3,0,0
+3e+06ns,host9,0,0,0
+3e+06ns,host9,1,0,0
+3e+06ns,host9,2,0,0
+3e+06ns,host9,3,0,0
+3e+06ns,host10,0,0,9000
+3e+06ns,host10,1,0,0
+3e+06ns,host10,2,0,0
+3e+06ns,host10,3,0,0
+3e+06ns,host11,0,0,9000
+3e+06ns,host11,1,0,0
+3e+06ns,host11,2,0,0
+3e+06ns,host11,3,0,0
+3e+06ns,host12,0,0,9000
+3e+06ns,host12,1,0,0
+3e+06ns,host12,2,0,0
+3e+06ns,host12,3,0,0
+3e+06ns,host13,0,0,15000
+3e+06ns,host13,1,0,3000
+3e+06ns,host13,2,0,3000
+3e+06ns,host13,3,0,0
+3e+06ns,host14,0,0,0
+3e+06ns,host14,1,0,0
+3e+06ns,host14,2,0,0
+3e+06ns,host14,3,0,0
+3e+06ns,host15,0,0,6000
+3e+06ns,host15,1,0,0
+3e+06ns,host15,2,0,0
+3e+06ns,host15,3,0,0
+3e+06ns,host16,0,0,6000
+3e+06ns,host16,1,0,0
+3e+06ns,host16,2,0,0
+3e+06ns,host16,3,0,0
+3e+06ns,host17,0,0,6000
+3e+06ns,host17,1,0,0
+3e+06ns,host17,2,0,0
+3e+06ns,host17,3,0,0
+3e+06ns,host18,0,0,9000
+3e+06ns,host18,1,0,3000
+3e+06ns,host18,2,0,3000
+3e+06ns,host18,3,0,0
+3e+06ns,host19,0,0,0
+3e+06ns,host19,1,0,0
+3e+06ns,host19,2,0,0
+3e+06ns,host19,3,0,0
+3e+06ns,host20,0,0,3000
+3e+06ns,host20,1,0,0
+3e+06ns,host20,2,0,0
+3e+06ns,host20,3,0,0
+3e+06ns,host21,0,0,3000
+3e+06ns,host21,1,0,0
+3e+06ns,host21,2,0,0
+3e+06ns,host21,3,0,0
+3e+06ns,host22,0,0,3000
+3e+06ns,host22,1,0,0
+3e+06ns,host22,2,0,0
+3e+06ns,host22,3,0,0
+3e+06ns,host23,0,0,3000
+3e+06ns,host23,1,0,0
+3e+06ns,host23,2,0,3000
+3e+06ns,host23,3,0,0
+3e+06ns,host24,0,0,0
+3e+06ns,host24,1,0,0
+3e+06ns,host24,2,0,0
+3e+06ns,host24,3,0,0
+3e+06ns,host25,0,0,0
+3e+06ns,host25,1,0,0
+3e+06ns,host25,2,0,0
+3e+06ns,host25,3,0,0
+3e+06ns,host26,0,0,0
+3e+06ns,host26,1,0,0
+3e+06ns,host26,2,0,0
+3e+06ns,host26,3,0,0
+3e+06ns,host27,0,0,0
+3e+06ns,host27,1,0,0
+3e+06ns,host27,2,0,0
+3e+06ns,host27,3,0,0
+3e+06ns,host28,0,0,0
+3e+06ns,host28,1,0,0
+3e+06ns,host28,2,0,0
+3e+06ns,host28,3,0,0
+3e+06ns,host29,0,0,0
+3e+06ns,host29,1,0,0
+3e+06ns,host29,2,0,0
+3e+06ns,host29,3,0,0
+4e+06ns,host0,0,0,15000
+4e+06ns,host0,1,0,0
+4e+06ns,host0,2,0,69000
+4e+06ns,host0,3,0,0
+4e+06ns,host1,0,0,15000
+4e+06ns,host1,1,0,0
+4e+06ns,host1,2,0,51000
+4e+06ns,host1,3,0,3000
+4e+06ns,host2,0,0,15000
+4e+06ns,host2,1,0,0
+4e+06ns,host2,2,0,33000
+4e+06ns,host2,3,0,3000
+4e+06ns,host3,0,0,27000
+4e+06ns,host3,1,0,0
+4e+06ns,host3,2,0,3000
+4e+06ns,host3,3,0,3000
+4e+06ns,host4,0,0,0
+4e+06ns,host4,1,0,0
+4e+06ns,host4,2,0,0
+4e+06ns,host4,3,0,0
+4e+06ns,host5,0,0,12000
+4e+06ns,host5,1,0,0
+4e+06ns,host5,2,0,0
+4e+06ns,host5,3,0,0
+4e+06ns,host6,0,0,12000
+4e+06ns,host6,1,0,0
+4e+06ns,host6,2,0,0
+4e+06ns,host6,3,0,0
+4e+06ns,host7,0,0,12000
+4e+06ns,host7,1,0,0
+4e+06ns,host7,2,0,0
+4e+06ns,host7,3,0,0
+4e+06ns,host8,0,0,21000
+4e+06ns,host8,1,0,3000
+4e+06ns,host8,2,0,3000
+4e+06ns,host8,3,0,0
+4e+06ns,host9,0,0,0
+4e+06ns,host9,1,0,0
+4e+06ns,host9,2,0,0
+4e+06ns,host9,3,0,0
+4e+06ns,host10,0,0,9000
+4e+06ns,host10,1,0,0
+4e+06ns,host10,2,0,0
+4e+06ns,host10,3,0,0
+4e+06ns,host11,0,0,9000
+4e+06ns,host11,1,0,0
+4e+06ns,host11,2,0,0
+4e+06ns,host11,3,0,0
+4e+06ns,host12,0,0,9000
+4e+06ns,host12,1,0,0
+4e+06ns,host12,2,0,0
+4e+06ns,host12,3,0,0
+4e+06ns,host13,0,0,15000
+4e+06ns,host13,1,0,3000
+4e+06ns,host13,2,0,3000
+4e+06ns,host13,3,0,0
+4e+06ns,host14,0,0,0
+4e+06ns,host14,1,0,0
+4e+06ns,host14,2,0,0
+4e+06ns,host14,3,0,0
+4e+06ns,host15,0,0,6000
+4e+06ns,host15,1,0,0
+4e+06ns,host15,2,0,0
+4e+06ns,host15,3,0,0
+4e+06ns,host16,0,0,6000
+4e+06ns,host16,1,0,0
+4e+06ns,host16,2,0,0
+4e+06ns,host16,3,0,0
+4e+06ns,host17,0,0,6000
+4e+06ns,host17,1,0,0
+4e+06ns,host17,2,0,0
+4e+06ns,host17,3,0,0
+4e+06ns,host18,0,0,9000
+4e+06ns,host18,1,0,3000
+4e+06ns,host18,2,0,3000
+4e+06ns,host18,3,0,0
+4e+06ns,host19,0,0,0
+4e+06ns,host19,1,0,0
+4e+06ns,host19,2,0,0
+4e+06ns,host19,3,0,0
+4e+06ns,host20,0,0,3000
+4e+06ns,host20,1,0,0
+4e+06ns,host20,2,0,0
+4e+06ns,host20,3,0,0
+4e+06ns,host21,0,0,3000
+4e+06ns,host21,1,0,0
+4e+06ns,host21,2,0,0
+4e+06ns,host21,3,0,0
+4e+06ns,host22,0,0,3000
+4e+06ns,host22,1,0,0
+4e+06ns,host22,2,0,0
+4e+06ns,host22,3,0,0
+4e+06ns,host23,0,0,3000
+4e+06ns,host23,1,0,0
+4e+06ns,host23,2,0,3000
+4e+06ns,host23,3,0,0
+4e+06ns,host24,0,0,0
+4e+06ns,host24,1,0,0
+4e+06ns,host24,2,0,0
+4e+06ns,host24,3,0,0
+4e+06ns,host25,0,0,0
+4e+06ns,host25,1,0,0
+4e+06ns,host25,2,0,0
+4e+06ns,host25,3,0,0
+4e+06ns,host26,0,0,0
+4e+06ns,host26,1,0,0
+4e+06ns,host26,2,0,0
+4e+06ns,host26,3,0,0
+4e+06ns,host27,0,0,0
+4e+06ns,host27,1,0,0
+4e+06ns,host27,2,0,0
+4e+06ns,host27,3,0,0
+4e+06ns,host28,0,0,0
+4e+06ns,host28,1,0,0
+4e+06ns,host28,2,0,0
+4e+06ns,host28,3,0,0
+4e+06ns,host29,0,0,0
+4e+06ns,host29,1,0,0
+4e+06ns,host29,2,0,0
+4e+06ns,host29,3,0,0
+5e+06ns,host0,0,0,15000
+5e+06ns,host0,1,0,0
+5e+06ns,host0,2,0,69000
+5e+06ns,host0,3,0,0
+5e+06ns,host1,0,0,15000
+5e+06ns,host1,1,0,0
+5e+06ns,host1,2,0,51000
+5e+06ns,host1,3,0,3000
+5e+06ns,host2,0,0,15000
+5e+06ns,host2,1,0,0
+5e+06ns,host2,2,0,33000
+5e+06ns,host2,3,0,3000
+5e+06ns,host3,0,0,27000
+5e+06ns,host3,1,0,0
+5e+06ns,host3,2,0,3000
+5e+06ns,host3,3,0,3000
+5e+06ns,host4,0,0,0
+5e+06ns,host4,1,0,0
+5e+06ns,host4,2,0,0
+5e+06ns,host4,3,0,0
+5e+06ns,host5,0,0,12000
+5e+06ns,host5,1,0,0
+5e+06ns,host5,2,0,0
+5e+06ns,host5,3,0,0
+5e+06ns,host6,0,0,12000
+5e+06ns,host6,1,0,0
+5e+06ns,host6,2,0,0
+5e+06ns,host6,3,0,0
+5e+06ns,host7,0,0,12000
+5e+06ns,host7,1,0,0
+5e+06ns,host7,2,0,0
+5e+06ns,host7,3,0,0
+5e+06ns,host8,0,0,21000
+5e+06ns,host8,1,0,3000
+5e+06ns,host8,2,0,3000
+5e+06ns,host8,3,0,0
+5e+06ns,host9,0,0,0
+5e+06ns,host9,1,0,0
+5e+06ns,host9,2,0,0
+5e+06ns,host9,3,0,0
+5e+06ns,host10,0,0,9000
+5e+06ns,host10,1,0,0
+5e+06ns,host10,2,0,0
+5e+06ns,host10,3,0,0
+5e+06ns,host11,0,0,9000
+5e+06ns,host11,1,0,0
+5e+06ns,host11,2,0,0
+5e+06ns,host11,3,0,0
+5e+06ns,host12,0,0,9000
+5e+06ns,host12,1,0,0
+5e+06ns,host12,2,0,0
+5e+06ns,host12,3,0,0
+5e+06ns,host13,0,0,15000
+5e+06ns,host13,1,0,3000
+5e+06ns,host13,2,0,3000
+5e+06ns,host13,3,0,0
+5e+06ns,host14,0,0,0
+5e+06ns,host14,1,0,0
+5e+06ns,host14,2,0,0
+5e+06ns,host14,3,0,0
+5e+06ns,host15,0,0,6000
+5e+06ns,host15,1,0,0
+5e+06ns,host15,2,0,0
+5e+06ns,host15,3,0,0
+5e+06ns,host16,0,0,6000
+5e+06ns,host16,1,0,0
+5e+06ns,host16,2,0,0
+5e+06ns,host16,3,0,0
+5e+06ns,host17,0,0,6000
+5e+06ns,host17,1,0,0
+5e+06ns,host17,2,0,0
+5e+06ns,host17,3,0,0
+5e+06ns,host18,0,0,9000
+5e+06ns,host18,1,0,3000
+5e+06ns,host18,2,0,3000
+5e+06ns,host18,3,0,0
+5e+06ns,host19,0,0,0
+5e+06ns,host19,1,0,0
+5e+06ns,host19,2,0,0
+5e+06ns,host19,3,0,0
+5e+06ns,host20,0,0,3000
+5e+06ns,host20,1,0,0
+5e+06ns,host20,2,0,0
+5e+06ns,host20,3,0,0
+5e+06ns,host21,0,0,3000
+5e+06ns,host21,1,0,0
+5e+06ns,host21,2,0,0
+5e+06ns,host21,3,0,0
+5e+06ns,host22,0,0,3000
+5e+06ns,host22,1,0,0
+5e+06ns,host22,2,0,0
+5e+06ns,host22,3,0,0
+5e+06ns,host23,0,0,3000
+5e+06ns,host23,1,0,0
+5e+06ns,host23,2,0,3000
+5e+06ns,host23,3,0,0
+5e+06ns,host24,0,0,0
+5e+06ns,host24,1,0,0
+5e+06ns,host24,2,0,0
+5e+06ns,host24,3,0,0
+5e+06ns,host25,0,0,0
+5e+06ns,host25,1,0,0
+5e+06ns,host25,2,0,0
+5e+06ns,host25,3,0,0
+5e+06ns,host26,0,0,0
+5e+06ns,host26,1,0,0
+5e+06ns,host26,2,0,0
+5e+06ns,host26,3,0,0
+5e+06ns,host27,0,0,0
+5e+06ns,host27,1,0,0
+5e+06ns,host27,2,0,0
+5e+06ns,host27,3,0,0
+5e+06ns,host28,0,0,0
+5e+06ns,host28,1,0,0
+5e+06ns,host28,2,0,0
+5e+06ns,host28,3,0,0
+5e+06ns,host29,0,0,0
+5e+06ns,host29,1,0,0
+5e+06ns,host29,2,0,0
+5e+06ns,host29,3,0,0
+6e+06ns,host0,0,0,15000
+6e+06ns,host0,1,0,0
+6e+06ns,host0,2,0,69000
+6e+06ns,host0,3,0,0
+6e+06ns,host1,0,0,15000
+6e+06ns,host1,1,0,0
+6e+06ns,host1,2,0,51000
+6e+06ns,host1,3,0,3000
+6e+06ns,host2,0,0,15000
+6e+06ns,host2,1,0,0
+6e+06ns,host2,2,0,33000
+6e+06ns,host2,3,0,3000
+6e+06ns,host3,0,0,27000
+6e+06ns,host3,1,0,0
+6e+06ns,host3,2,0,3000
+6e+06ns,host3,3,0,3000
+6e+06ns,host4,0,0,0
+6e+06ns,host4,1,0,0
+6e+06ns,host4,2,0,0
+6e+06ns,host4,3,0,0
+6e+06ns,host5,0,0,12000
+6e+06ns,host5,1,0,0
+6e+06ns,host5,2,0,0
+6e+06ns,host5,3,0,0
+6e+06ns,host6,0,0,12000
+6e+06ns,host6,1,0,0
+6e+06ns,host6,2,0,0
+6e+06ns,host6,3,0,0
+6e+06ns,host7,0,0,12000
+6e+06ns,host7,1,0,0
+6e+06ns,host7,2,0,0
+6e+06ns,host7,3,0,0
+6e+06ns,host8,0,0,21000
+6e+06ns,host8,1,0,3000
+6e+06ns,host8,2,0,3000
+6e+06ns,host8,3,0,0
+6e+06ns,host9,0,0,0
+6e+06ns,host9,1,0,0
+6e+06ns,host9,2,0,0
+6e+06ns,host9,3,0,0
+6e+06ns,host10,0,0,9000
+6e+06ns,host10,1,0,0
+6e+06ns,host10,2,0,0
+6e+06ns,host10,3,0,0
+6e+06ns,host11,0,0,9000
+6e+06ns,host11,1,0,0
+6e+06ns,host11,2,0,0
+6e+06ns,host11,3,0,0
+6e+06ns,host12,0,0,9000
+6e+06ns,host12,1,0,0
+6e+06ns,host12,2,0,0
+6e+06ns,host12,3,0,0
+6e+06ns,host13,0,0,15000
+6e+06ns,host13,1,0,3000
+6e+06ns,host13,2,0,3000
+6e+06ns,host13,3,0,0
+6e+06ns,host14,0,0,0
+6e+06ns,host14,1,0,0
+6e+06ns,host14,2,0,0
+6e+06ns,host14,3,0,0
+6e+06ns,host15,0,0,6000
+6e+06ns,host15,1,0,0
+6e+06ns,host15,2,0,0
+6e+06ns,host15,3,0,0
+6e+06ns,host16,0,0,6000
+6e+06ns,host16,1,0,0
+6e+06ns,host16,2,0,0
+6e+06ns,host16,3,0,0
+6e+06ns,host17,0,0,6000
+6e+06ns,host17,1,0,0
+6e+06ns,host17,2,0,0
+6e+06ns,host17,3,0,0
+6e+06ns,host18,0,0,9000
+6e+06ns,host18,1,0,3000
+6e+06ns,host18,2,0,3000
+6e+06ns,host18,3,0,0
+6e+06ns,host19,0,0,0
+6e+06ns,host19,1,0,0
+6e+06ns,host19,2,0,0
+6e+06ns,host19,3,0,0
+6e+06ns,host20,0,0,3000
+6e+06ns,host20,1,0,0
+6e+06ns,host20,2,0,0
+6e+06ns,host20,3,0,0
+6e+06ns,host21,0,0,3000
+6e+06ns,host21,1,0,0
+6e+06ns,host21,2,0,0
+6e+06ns,host21,3,0,0
+6e+06ns,host22,0,0,3000
+6e+06ns,host22,1,0,0
+6e+06ns,host22,2,0,0
+6e+06ns,host22,3,0,0
+6e+06ns,host23,0,0,3000
+6e+06ns,host23,1,0,0
+6e+06ns,host23,2,0,3000
+6e+06ns,host23,3,0,0
+6e+06ns,host24,0,0,0
+6e+06ns,host24,1,0,0
+6e+06ns,host24,2,0,0
+6e+06ns,host24,3,0,0
+6e+06ns,host25,0,0,0
+6e+06ns,host25,1,0,0
+6e+06ns,host25,2,0,0
+6e+06ns,host25,3,0,0
+6e+06ns,host26,0,0,0
+6e+06ns,host26,1,0,0
+6e+06ns,host26,2,0,0
+6e+06ns,host26,3,0,0
+6e+06ns,host27,0,0,0
